#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,requestType,requestUUID,resource,sourceHost,timestamp,unit
,,61,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:31:24.699438412Z,8.473517,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,ae1827fc-5d68-4738-822f-4555f7858909,/temperature,gateway1-edge-iot-simulator,1712190684645164807,ms
,,62,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:41:24.792377896Z,10.161824,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,b20fa117-0446-4edc-b261-4f7287e7b65e,/temperature,gateway1-edge-iot-simulator,1712191284741024816,ms
,,63,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:46:24.259876612Z,9.05766,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,b436903a-cd5e-4f59-b765-c0014420f060,/temperature,gateway1-edge-iot-simulator,1712187984206364510,ms
,,64,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:05:24.446396391Z,9.896862,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,b487fdaf-c2ee-4641-930f-b92277b992b0,/temperature,gateway1-edge-iot-simulator,1712189124391987179,ms
,,65,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:11:24.505300849Z,9.877353,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,b9792c69-92fb-4851-8d8f-9ee460024b52,/temperature,gateway1-edge-iot-simulator,1712189484452275008,ms
,,66,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:43:24.230139365Z,10.140881,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,ba091269-0be3-4a89-a7a2-4d1e7f52d688,/temperature,gateway1-edge-iot-simulator,1712187804177921542,ms
,,67,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:18:24.573971351Z,9.374549,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,c3af5e7b-b14f-4cf0-9f1d-b3b2647f19ab,/temperature,gateway1-edge-iot-simulator,1712189904520220340,ms
,,68,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:21:24.599851135Z,8.975413,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,c5a43d62-d92d-434f-8f90-3b4c2793a50d,/temperature,gateway1-edge-iot-simulator,1712190084549313553,ms
,,69,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:15:24.543608503Z,9.316221,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,c9f3e38f-5b83-408a-ae56-e9203aa744c5,/temperature,gateway1-edge-iot-simulator,1712189724490411250,ms
,,70,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:16:24.552318621Z,8.841952,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,cba07722-f44d-4036-abb5-063e4e11567c,/temperature,gateway1-edge-iot-simulator,1712189784499594617,ms
